Date,TAVG,RAIN,TR05
01-01-2020,44.84,0,1.557
02-01-2020,50.53,0,1.5518
03-01-2020,44.14,0,1.5556
04-01-2020,41.72,0,1.5636
05-01-2020,46.48,0,1.5643
06-01-2020,40.31,0,1.5719
07-01-2020,44.27,0,1.5762
08-01-2020,49.19,0,1.5796
09-01-2020,59.68,0,1.5715
10-01-2020,54.51,0.03,1.5636
11-01-2020,29.82,0,1.585
12-01-2020,41.82,0,1.5909
13-01-2020,46.61,0,1.5928
14-01-2020,55.86,0.01,1.5592
15-01-2020,51.66,0,1.5685
16-01-2020,35.19,0.9,1.5834
17-01-2020,41.18,1.18,1.5184
18-01-2020,41.08,0,1.5328
19-01-2020,34.67,0,1.5501
20-01-2020,38.85,0,1.5531
21-01-2020,36.07,0.17,1.557
22-01-2020,39.27,0.41,1.5304
23-01-2020,43.44,0.01,1.5288
24-01-2020,40.28,0.01,1.5432
25-01-2020,49.89,0,1.5433
26-01-2020,48.31,0,1.5401
27-01-2020,50.21,0,1.5449
28-01-2020,41.83,1.09,1.5285
29-01-2020,36.13,0,1.5357
30-01-2020,36.51,0,1.539
31-01-2020,39.31,0.01,1.5433
01-02-2020,47.06,0,1.5461
02-02-2020,57.3,0,1.5425
03-02-2020,54.5,0,1.5437
04-02-2020,33.33,0,1.5517
05-02-2020,27.59,0,1.5596
06-02-2020,26.86,0.27,1.5557
07-02-2020,38.9,0.17,1.5509
08-02-2020,46.57,0,1.5465
09-02-2020,56.81,0,1.5367
10-02-2020,35.22,0.13,1.5416
11-02-2020,38.95,0.02,1.5453
12-02-2020,38.65,0.37,1.5375
13-02-2020,29.32,0,1.5443
14-02-2020,33.32,0,1.5479
15-02-2020,46.07,0,1.5476
16-02-2020,45.23,0,-996
17-02-2020,51.68,0,1.544
18-02-2020,44.68,0,1.5451
19-02-2020,43.45,0,1.5514
20-02-2020,36.62,0,1.5548
21-02-2020,32.75,0,1.5639
22-02-2020,47.92,0,1.5667
23-02-2020,50.86,0.07,1.5665
24-02-2020,46.8,0,1.5622
25-02-2020,43.1,0.03,1.5604
26-02-2020,33.69,0.01,1.564
27-02-2020,41.52,0,1.5738
28-02-2020,47.22,0,1.5725
29-02-2020,56.04,0,1.5745
01-03-2020,61.94,0,1.5747
02-03-2020,48.37,0,1.5851
03-03-2020,53.08,0,1.5908
04-03-2020,50.31,0.01,1.597
05-03-2020,48.67,0,1.6031
